RecID|PriceCode|Description|Price
197|E-02-8001|Conventional 80D-109-48 |14185.92
198|E-02-8002|Conventional 80D-119-54 |14522.88
199|E-02-8003|Conventional 80D-119-64 |14893.44
200|E-02-8004|Conventional 80D-133-48 |14712.96
201|E-02-8005|Conventional 80D-133-54 |15025.92
202|E-02-91201|Conventional 912D-305-168 |56904
203|E-02-91202|Conventional 912D-365-144 |58460.16
204|E-02-91203|Conventional 912D-365-168 |59229.12
205|E-02-91204|Conventional 912D-427-144 |60146.88
206|E-02-91211|Special Geometry 912D-305-144 |61701.12
207|E-02-91212|Special Geometry 912D-305-168 |63559.68
208|E-02-91213|Special Geometry 912D-305-192 |71230.08
209|E-02-91214|Special Geometry 912D-305-216 |72696
210|E-02-91215|Special Geometry 912D-365-144 |62831.04
211|E-02-91216|Special Geometry 912D-365-168 |64964.16
212|E-02-91217|Special Geometry 912D-427-168 |75102.72
213|E-02-91221|Air Balance 912D-305-168 |71583.36
214|E-02-91222|Air Balance 912D-427-144 |70335.36
215|E-02-91223|Air Balance 912D-427-192 |84163.2
216|E-02-91224|Air Balance 912D-427-216 |88936.32
217|E-02-91225|Air Balance 912D-470-240 |97547.52
218|F-01-101|8 ft x 10 ft (90 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Flat|4353.7
219|F-01-102|8 ft x 10 ft (90 BBL) 1/4 in Bottom - Sides and Deck Flat|4895.15
220|F-01-111|8 ft x 12 ft (100 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Flat|4629.95
221|F-01-112|8 ft x 12 ft (100 BBL) 1/4 in Bottom - Sides and Deck Flat|5215.6
222|F-01-121|9 ft-6 in x 8 ft (100 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Flat|4705.09
223|F-01-122|9 ft-6 in x 8 ft (100 BBL) 1/4 in Bottom - Sides and Deck Flat|5275.27
224|F-01-131|9 ft-6 in x 12 ft (150 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Flat|5370.3
225|F-01-132|9 ft-6 in x 12 ft (150 BBL) 1/4 in Bottom - Sides and Deck Flat|6154.85
226|F-01-141|10 ft x 15 ft (210 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Flat|6305.13
227|F-01-142|10 ft x 15 ft (210 BBL) 1/4 in Bottom - Sides and Deck Flat|7284.16
228|F-01-151|10 ft x 20 ft (280 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Flat|7631.13
229|F-01-152|10 ft x 20 ft (280 BBL) 1/4 in Bottom - Sides and Deck Flat|8771.49
230|F-01-161|12 ft x 10 ft (200 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Flat|6331.65
231|F-01-162|12 ft x 10 ft (200 BBL) 1/4 in Bottom - Sides and Deck Flat|7231.12
232|F-01-171|12 ft x 15 ft (300 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Flat|7752.68
233|F-01-172|12 ft x 15 ft (300 BBL) 1/4 in Bottom - Sides and Deck Flat|9087.52
234|F-01-181|12 ft x 20 ft (400 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Flat|9403.55
235|F-01-182|12 ft x 20 ft (400 BBL) 1/4 in Bottom - Sides and Deck Flat|11301.94
236|F-01-191|12 ft x 25 ft (500 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Flat|11222.38
237|F-01-192|12 ft x 25 ft (500 BBL) 1/4 in Bottom - Sides and Deck Flat|12568.27
238|F-01-195|15 ft-6 in x 16 ft (500 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Flat|11803.61
239|F-01-196|15 ft-6 in x 16 ft (500 BBL) 1/4 in Bottom - Sides and Deck Flat|13182.65
240|F-01-197|15 ft-6 in x 24 ft (750 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Flat|20990.58
241|F-01-198|15 ft-6 in x 24 ft (750 BBL) 1/4 in Bottom - Sides and Deck Flat|23443.68
"242|F-01-199|15 ft-6 in x 32 ft (1,000 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Flat|30155.45"
"243|F-01-200|15 ft-6 in x 32 ft (1,000 BBL) 1/4 in Bottom - Sides and Deck Flat|33678.19"
"244|F-01-302|21 ft-6 in x 16 ft (1,000 BBL) 1/4 in Bottom - Sides and Deck Flat|61880"
"245|F-01-304|21 ft-6 in x 24 ft (1,500 BBL) 1/4 in Bottom - Sides and Deck Flat|80665"
"246|F-01-306|29 ft-8 in x 24 ft (3,000 BBL) 1/4 in Bottom - Sides and Deck Flat|106301"
"247|F-01-308|38 ft-8 in x 24 ft (5,000 BBL) 1/4 in Bottom - Sides and Deck Flat|167518"
"248|F-01-310|55 ft x 24 ft (10,000 BBL) 1/4 in Bottom - Sides and Deck Flat|251498"
249|F-01-311|8 ft x 10 ft (90 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type A Cone|4800.12
250|F-01-312|8 ft x 10 ft (90 BBL) 1/4 in Bottom - Sides and Deck Type A Cone|5259.8
251|F-01-313|8 ft x 12 ft (100 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type A Cone|5034.38
252|F-01-314|8 ft x 12 ft (100 BBL) 1/4 in Bottom - Sides and Deck Type A Cone|5531.63
253|F-01-315|9 ft-6 in x 8 ft (100 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type A Cone|5098.47
254|F-01-316|9 ft-6 in x 8 ft (100 BBL) 1/4 in Bottom - Sides and Deck Type A Cone|5244.33
255|F-01-317|9 ft-6 in x 12 ft (150 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type A Cone|5664.23
256|F-01-318|9 ft-6 in x 12 ft (150 BBL) 1/4 in Bottom - Sides and Deck Type A Cone|6331.65
257|F-01-319|10 ft x 15 ft (210 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type A Cone|6457.62
258|F-01-320|10 ft x 15 ft (210 BBL) 1/4 in Bottom - Sides and Deck Type A Cone|7290.79
259|F-01-321|10 ft x 20 ft (280 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type A Cone|7584.72
260|F-01-322|10 ft x 20 ft (280 BBL) 1/4 in Bottom - Sides and Deck Type A Cone|8554.91
261|F-01-323|12 ft x 10 ft (200 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type A Cone|6506.24
262|F-01-324|12 ft x 10 ft (200 BBL) 1/4 in Bottom - Sides and Deck Type A Cone|7270.9
263|F-01-325|12 ft x 15 ft (300 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type A Cone|7712.9
264|F-01-326|12 ft x 15 ft (300 BBL) 1/4 in Bottom - Sides and Deck Type A Cone|8848.84
265|F-01-327|12 ft x 20 ft (400 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type A Cone|9116.25
266|F-01-328|12 ft x 20 ft (400 BBL) 1/4 in Bottom - Sides and Deck Type A Cone|10729.55
267|F-01-329|12 ft x 25 ft (500 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type A Cone|10663.25
268|F-01-330|12 ft x 25 ft (500 BBL) 1/4 in Bottom - Sides and Deck Type A Cone|11805.82
269|F-01-331|15 ft-6 in x 16 ft (500 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type A Cone|11374.87
270|F-01-332|15 ft-6 in x 16 ft (500 BBL) 1/4 in Bottom - Sides and Deck Type A Cone|12546.17
271|F-01-333|15 ft-6 in x 24 ft (750 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type A Cone|19182.8
272|F-01-334|15 ft-6 in x 24 ft (750 BBL) 1/4 in Bottom - Sides and Deck Type A Cone|21269.04
"273|F-01-335|15 ft-6 in x 32 ft (1,000 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type A Cone|26973.05"
"274|F-01-336|15 ft-6 in x 32 ft (1,000 BBL) 1/4 in Bottom - Sides and Deck Type A Cone|29967.6"
275|F-01-337|8 ft x 10 ft (90 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type B Cone|6497.4
276|F-01-338|8 ft x 10 ft (90 BBL) 1/4 in Bottom - Sides and Deck Type B Cone|6957.08
277|F-01-339|8 ft x 12 ft (100 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type B Cone|6731.66
278|F-01-340|8 ft x 12 ft (100 BBL) 1/4 in Bottom - Sides and Deck Type B Cone|7231.12
279|F-01-341|9 ft-6 in x 8 ft (100 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type B Cone|6795.75
280|F-01-342|9 ft-6 in x 8 ft (100 BBL) 1/4 in Bottom - Sides and Deck Type B Cone|7281.95
281|F-01-343|9 ft-6 in x 12 ft (150 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type B Cone|7361.51
282|F-01-344|9 ft-6 in x 12 ft (150 BBL) 1/4 in Bottom - Sides and Deck Type B Cone|8028.93
283|F-01-345|10 ft x 15 ft (210 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type B Cone|8157.11
284|F-01-346|10 ft x 15 ft (210 BBL) 1/4 in Bottom - Sides and Deck Type B Cone|8990.28
285|F-01-347|10 ft x 20 ft (280 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type B Cone|9284.21
286|F-01-348|10 ft x 20 ft (280 BBL) 1/4 in Bottom - Sides and Deck Type B Cone|10252.19
287|F-01-349|12 ft x 10 ft (200 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type B Cone|8484.19
288|F-01-350|12 ft x 10 ft (200 BBL) 1/4 in Bottom - Sides and Deck Type B Cone|9065.42
289|F-01-351|12 ft x 15 ft (300 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type B Cone|9690.85
290|F-01-352|12 ft x 15 ft (300 BBL) 1/4 in Bottom - Sides and Deck Type B Cone|10826.79
291|F-01-353|12 ft x 20 ft (400 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type B Cone|11094.2
292|F-01-354|12 ft x 20 ft (400 BBL) 1/4 in Bottom - Sides and Deck Type B Cone|12707.5
293|F-01-355|12 ft x 25 ft (500 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type B Cone|12641.2
294|F-01-356|12 ft x 25 ft (500 BBL) 1/4 in Bottom - Sides and Deck Type B Cone|13770.51
295|F-01-357|15 ft-6 in x 16 ft (500 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type B Cone|13587.08
296|F-01-358|15 ft-6 in x 16 ft (500 BBL) 1/4 in Bottom - Sides and Deck Type B Cone|14758.38
297|F-01-359|15 ft-6 in x 24 ft (750 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type B Cone|21397.22
298|F-01-360|15 ft-6 in x 24 ft (750 BBL) 1/4 in Bottom - Sides and Deck Type B Cone|23481.25
"299|F-01-361|15 ft-6 in x 32 ft (1,000 BBL) 1/4 in Bottom - 3/16 in Sides and Deck Type B Cone|29185.26"
"300|F-01-362|15 ft-6 in x 32 ft (1,000 BBL) 1/4 in Bottom - Sides and Deck Type B Cone|32179.81"
301|F-02-201|Closed Top 10 ft x 15 ft 210 bbl. |6998.81
302|F-02-202|Closed Top 12 ft x 15 ft 300 bbl. |8656.2
303|F-02-203|Closed Top 12 ft x 20 ft 400 bbl. |9600.83
304|F-02-204|Closed Top 12 ft x 10 ft 202 bbl. |7316.55
305|F-02-205|Closed Top 15 ft-6 in x 16 ft 500 bbl. |14220.9
306|F-02-206|Closed Top 15 ft-6 in x 24 ft 806 bbl. |22121.4
307|F-02-207|Closed Top 15 ft-6 in x 30 ft 1000 bbl. |27960.9
308|F-02-212|Open Top 16 ft x 6 ft  210 bbl double |3005.63
309|F-02-213|Open Top 12 ft x 5 ft-6 in 110 bbl. |2572.82
310|F-02-214|Open Top 12 ft x 10 ft 202 bbl. |3756.17
311|F-02-215|Open Top 12 ft x 15 ft 300 bbl. |4410.54
312|F-02-216|Open Top 16 ft x 8 ft-6 in 300 bbl. |3912.47
313|G-01-101|2 Phase 24 in x 5 ft 125 lb|4376.25
314|G-01-102|2 Phase 24 in x 7 ft 125 ib|4530
315|G-01-103|2 Phase 24 in x 10 ft 125 lb|4783.75
316|G-01-106|2 Phase 30 in x 10 ft 125 lb|5481.25
317|G-01-108|2 Phase 36 in x 10 ft 125 lb|7162.5
318|G-01-121|3 Phase 24 in x 7 ft 125 lb|5762.5
319|G-01-122|3 Phase 24 in x 10 ft 125 lb|5968.75
320|G-01-124|3 Phase 30 in x 10 ft 125 lb|6782.5
321|G-01-127|3 Phase 36 in x 10 ft 125 lb|8492.5
322|G-01-140|2 Phase 12 in x 5 ft 1000 lb|4093.75
323|G-01-141|2 Phase 12 in x 7 ft 1000 lb|4217.5
324|G-01-142|2 Phase 16 in x 5 ft 1100 lb|4657.5
325|G-01-143|2 Phase 16 in x 7 ft 1100 lb|4881.25
326|G-01-144|2 Phase 16 in x 10 ft 1100 lb|5358.75
327|G-01-145|2 Phase 20 in x 5 ft 1000 lb|6246.25
328|G-01-146|2 Phase 20 in x 7 ft 1000 lb|6553.75
329|G-01-147|2 Phase 20 in x 10 ft 1000 lb|7561.25
330|G-01-148|2 Phase 24 in x 5 ft 1000 lb|7092.5
331|G-01-149|2 Phase 24 in x 7 ft 1000 lb|7563.75
332|G-01-150|2 Phase 24 in x 10 ft 1000 lb|8630
333|G-01-160|3 Phase 16 in x 7 ft 1100 lb|6258.75
334|G-01-161|3 Phase 16 in x 10 ft 1100 lb|6733.75
335|G-01-162|3 Phase 20 in x 7 ft 1000 lb|7970
336|G-01-163|3 Phase 20 in x 10 ft 1000 lb|8977.5
337|G-01-164|3 Phase 24 in x 7 ft 1000 lb|9353.75
338|G-01-165|3 Phase 24 in x 10 ft 1000 lb|10185
339|G-01-170|2 Phase 12 in x 5 ft 1440 lb|4271.25
340|G-01-171|2 Phase 12 in x 7 ft 1440 lb|4531.25
341|G-01-172|2 Phase 16 in x 5 ft 1440 lb|4976.25
342|G-01-173|2 Phase 16 in x 7 ft 1440 lb|5268.75
343|G-01-174|2 Phase 16 in x 10 ft 1440 lb|5846.25
344|G-01-175|2 Phase 20 in x 5 ft 1422 lb|6578.75
345|G-01-176|2 Phase 20 in x 7 ft 1422 lb|6851.25
346|G-01-177|2 Phase 20 in x 10 ft 1422 lb|7756.25
